"Parameter","PC1","PC2","PC3"
"Temperature",0.888652673236727,-0.0738299888757837,-0.0162865508033895
"pH",-0.928450522228083,0.234538026858579,-0.0420722901156579
"EC",0.2848081032514,0.817529333516459,-0.43951063874052
"TSS",0.912111203878181,0.106074832681781,0.0900468346219299
"Turbidity",0.870860598560811,0.107072262045529,-0.164738651689345
"Salinity",0.406008224358434,0.800544883772363,-0.154216319581298
"TDS",0.548291976883929,0.35502186645182,0.488893641773708
"DO",-0.895871594706079,0.248652075945739,0.174746806798644
"COD",0.928580899750342,-0.148449237233233,-0.146214803459621
"NH4.",0.945352748083915,-0.114020208658894,-0.158607999539512
"NO3",0.559458572630153,-0.282585703289041,0.240093454200022
"Phosphate",0.647421398188595,0.445557950914712,-0.515394647851278
"Sulfates",0.287108670639253,-0.231826035067234,-0.550219220696227
"K",-0.434676241035581,0.543354796130574,-0.200435342301786
"Ca",-0.172285403360812,0.803650498179501,0.199272003450882
"Mg",-0.440452846393457,0.676278191693734,0.276569978100286
"Cl",0.541024098853612,0.404344600559994,-0.680449611298419
"Br",-0.520198535108496,-0.725542509972652,0.224905620036329
"Cd",0.429134608958919,-0.510096432698647,0.543007524356806
"Cr",0.833315887892801,-0.181492996113089,0.400493636311163
"Ni",-0.0753580801282311,0.832243368454027,0.376953945298946
"Cu",-0.117177499010962,0.305320774876252,0.57475624247411
"Zn",-0.0212899949486646,0.200779710579799,0.693127794155427
"Mn",0.39778105457434,0.0873306516594912,0.797154889215449
"Hg",0.854129304902353,-0.0233216257231109,0.00206171970522328
"As",0.366953546531127,0.360447758138474,0.457225057859929
"Pb",0.737716802863669,0.200048594013753,0.497943893797566
