,Sample,Reading,PCarbon
0,blank,9.5,0.0
1,kj1,8.0,0.3078947368421053
2,kj2,8.6,0.18473684210526323
3,kj3,8.0,0.3078947368421053
4,kj4,9.0,0.10263157894736842
5,kj5,8.8,0.14368421052631564
6,H1,8.2,0.26684210526315805
7,H2,8.7,0.1642105263157896
8,H3,9.2,0.06157894736842119
9,H4,9.3,0.04105263157894722
10,H5,9.2,0.06157894736842119
11,Hb1,8.9,0.12315789473684204
12,Hb2,8.9,0.12315789473684204
13,Hb3,9.4,0.02052631578947361
14,Hb4,9.1,0.0821052631578948
15,Hb5,9.3,0.04105263157894722
16,k1,8.5,0.20526315789473684
17,k2,8.4,0.22578947368421046
18,k3,8.6,0.18473684210526323
19,k4,9.1,0.0821052631578948
20,k5,9.2,0.06157894736842119
