Date,TempA,TempB,TempC,TempD,pHA,pHB,pHC,pHD,ECA,ECB,ECC,ECD,DOA,DOB,DOC,DOD,BODA,BODB,BODC,BODD,TNA,TNB,TNC,TND
12/15/2021,21.5,21.2,21.3,21.4,7.73,8.12,7.91,8.48,1748,1679,1577,1695,2.55,2.62,2.6,2.59,27.96,27.7,27.88,27.93,1.28,1.25,1.26,1.27
12/16/2021,20.89339892,20.56071187,20.35908177,20.67717421,7.837849738,8.043130522,8.243383803,8.393897441,1923.098353,1950.537988,1799.33663,1866.435778,2.666385738,2.70377186,2.772186252,2.806291341,26.7968246,26.20320176,26.11850196,26.38958447,1.012827188,0.9738486672,0.8228690463,0.8928727418
12/17/2021,20.55309384,20.45179081,20.43593371,20.5456998,7.895135786,8.042722379,8.286870421,8.372927535,1957.038203,1984.456011,1749.11173,1791.206605,2.754415817,2.73864634,2.802117082,2.823594709,27.38104685,26.95994649,25.68449445,25.85450776,1.025666406,0.9998538547,0.8971273219,0.8518775797
12/18/2021,20.84013269,20.24394279,20.39519729,20.29662169,7.849716246,8.043336433,8.274640035,8.381591724,1953.918994,1903.292469,1721.056488,1790.255519,2.674757616,2.720792622,2.770019967,2.749013441,27.26518818,26.17700103,25.83323487,25.6647035,0.9421837425,0.9466413723,0.8624091025,0.842642159
12/19/2021,20.94752755,20.322823,20.32529349,20.69403275,7.864562507,8.051080369,8.145734586,8.357154827,1990.358593,1959.465741,1688.866824,1913.1881,2.690855582,2.724369,2.775635205,2.828833332,26.54832596,26.54017025,26.06270224,26.57352477,0.8607379213,1.0376817,0.8569956747,0.9387527741
12/20/2021,20.72837897,20.28146712,20.36688811,20.27942408,7.915522474,8.059416237,8.133782878,8.38961113,1950.591888,1884.039188,1662.799647,1812.003621,2.74629567,2.733845171,2.811044547,2.726252378,26.62103171,26.27537434,25.75523579,25.94296199,0.7996543779,0.8036336222,0.9858320962,0.9932900271
12/21/2021,20.76641424,20.31699226,20.32416936,20.5998855,7.877870584,8.042556894,8.149370606,8.386286608,1886.497524,1800.641185,1773.470878,1844.785435,2.75050399,2.784636943,2.802581633,2.838522402,27.31565929,25.23171876,25.84977461,26.88729154,0.8301270119,0.8537827888,1.035953489,0.8825028778
12/22/2021,20.70663223,20.35102664,20.48082383,20.32914556,7.941976427,8.051758928,8.219096585,8.382989338,2009.359944,1863.939748,1799.678518,1832.022828,2.754924522,2.830958334,2.826664784,2.826642435,26.51226642,26.25042469,26.36739533,25.10577598,0.895754797,0.8809783991,0.8845058069,1.105306858
12/23/2021,20.832313,20.23330144,20.46288989,20.35887014,7.903908085,8.05095134,8.128130862,8.355211805,1871.246452,1722.981873,1811.588348,1919.678359,2.665697819,2.727548385,2.807838674,2.780550509,27.48201828,27.06848603,26.01139499,25.31037359,0.812553482,0.9619778935,0.8093587398,0.9370459142
12/24/2021,20.78268997,20.79364316,20.48509836,20.32547365,7.832495981,8.042120901,8.236787549,8.357740936,1952.749823,1895.020628,1857.72922,1797.179053,2.669454104,2.711048501,2.775071963,2.833227308,26.66792868,26.91219219,26.00242585,25.79643523,0.9009313754,0.7862909835,0.9288350082,1.063530798
