,metals,percent,Seasons
0,Mn,3.1570359443227196,Winter
1,Cr,6.946853707502165,Winter
2,Ni,0.6679319315719912,Winter
3,Cu,0.7691987541652121,Winter
4,Zn,0.05731958191676561,Winter
5,As,12.25065699042534,Winter
6,Cd,51.213409940508825,Winter
7,Hg,16.47802659576991,Winter
8,Pb,8.459566553817064,Winter
0,Mn,2.653139364208747,Summer
1,Cr,5.5719893530629765,Summer
2,Ni,0.5222633337392271,Summer
3,Cu,0.8857413943675426,Summer
4,Zn,0.055515446527212915,Summer
5,As,9.9673250633173,Summer
6,Cd,45.68358587384317,Summer
7,Hg,24.99223738201858,Summer
8,Pb,9.668202788915234,Summer
