,Values,Seasons
0,206.52428563623778,Winter
1,127.0955620228417,Winter
2,86.80634996947764,Winter
3,155.399998317017,Winter
4,137.79688885149912,Winter
5,155.61504293939277,Winter
6,166.21004603803553,Winter
7,81.85971915574562,Winter
8,97.03346190247134,Winter
9,140.76906876680005,Winter
10,125.32975435638683,Winter
11,84.77626193953414,Winter
12,117.76131950635082,Winter
13,147.30900432350768,Winter
14,119.69459278509291,Winter
15,104.26810252745057,Winter
16,127.5406798628522,Winter
17,69.91776908540105,Winter
18,101.11025890663511,Winter
19,45.2584623267114,Winter
20,138.46776044034084,Winter
21,152.38316140829735,Winter
22,103.46051134121403,Winter
23,119.8252700469643,Winter
24,105.0386009960619,Winter
25,59.947180912781285,Winter
26,112.01600149216716,Winter
27,79.32385648019796,Winter
28,71.04532431745697,Winter
29,172.1827993130227,Winter
30,147.50562254260643,Winter
31,102.6865853375128,Winter
32,141.18896657073563,Winter
33,69.15984138661901,Winter
34,130.8585328010551,Winter
35,234.83026419324023,Winter
36,138.63292636413743,Winter
37,139.77172780302448,Winter
38,82.76325639396445,Winter
39,126.4131227518059,Winter
40,120.50579740498188,Winter
41,56.090633473233474,Winter
42,153.76320676246718,Winter
43,35.09642968135385,Winter
44,79.13615425199457,Winter
45,146.6116139814954,Winter
46,147.10469229761355,Winter
47,162.38073046450504,Winter
48,142.13968824825545,Winter
49,63.01531871864114,Winter
50,99.21488857766577,Winter
51,167.06630158608266,Winter
52,89.71062798312258,Winter
53,87.00668231619755,Winter
54,53.338245318442304,Winter
55,152.42363670443086,Winter
56,139.52860340098718,Winter
57,113.40171108168636,Winter
58,81.22946379667894,Winter
59,83.45791917635069,Winter
60,87.05673835700779,Winter
61,129.66554085102595,Winter
62,70.65122859726516,Winter
63,44.31841834712553,Winter
64,119.71716317373071,Winter
65,88.50296996763387,Winter
66,136.52176808261348,Winter
67,81.1036084778976,Winter
68,101.3669441156899,Winter
69,143.47021844829985,Winter
70,50.01859377575555,Winter
71,70.92585413239644,Winter
72,125.7352495097569,Winter
73,167.9406475668517,Winter
74,51.48160927797459,Winter
75,79.26823008921895,Winter
76,90.31137663695213,Winter
77,126.69205089639837,Winter
78,141.92264572464296,Winter
79,76.96603302721915,Winter
80,142.38459918436695,Winter
81,52.568320748231066,Winter
82,129.59400381417424,Winter
83,140.25827302574288,Winter
84,192.69511661401657,Winter
85,103.26961252137066,Winter
86,86.86975350355537,Winter
87,86.41476903045616,Winter
88,38.768346774682975,Winter
89,189.94004396739408,Winter
90,150.67960457150414,Winter
91,93.10172444125443,Winter
92,129.01794785237072,Winter
93,94.02664585645782,Winter
94,102.28412125031406,Winter
95,60.915783041226085,Winter
96,154.93928813146493,Winter
97,68.0116512994659,Winter
98,130.42224314116314,Winter
99,122.34440656958894,Winter
100,126.82334405558261,Winter
101,76.429276481393,Winter
102,131.8002182479885,Winter
103,102.89610521713412,Winter
104,118.87899704371286,Winter
105,68.85824076489804,Winter
106,69.46652603989261,Winter
107,77.85192818956664,Winter
108,110.52049801237438,Winter
109,159.01890855982316,Winter
110,122.57207887838644,Winter
111,147.2033914576625,Winter
112,56.22967868259754,Winter
113,88.86507176300444,Winter
114,100.42683739543034,Winter
115,120.02360634245755,Winter
116,116.56121049862286,Winter
117,121.04675531579761,Winter
118,172.44657934988408,Winter
119,115.88744998700494,Winter
120,85.64494094500257,Winter
121,73.2941665559521,Winter
122,174.8721322617113,Winter
123,135.49982912657057,Winter
124,154.5174492536393,Winter
125,109.24652432446833,Winter
126,29.129387344980692,Winter
127,38.412446732397555,Winter
128,100.33837844104897,Winter
129,93.08338787198764,Winter
130,56.19262432474589,Winter
131,60.66907790425852,Winter
132,30.62813844808324,Winter
133,116.55815300719188,Winter
134,60.409866418109885,Winter
135,142.87356271043984,Winter
136,97.49632645973425,Winter
137,58.62444890451926,Winter
138,108.95112499151631,Winter
139,86.13270307046844,Winter
140,56.53831532002836,Winter
141,62.789175165247634,Winter
142,85.48885816738606,Winter
143,63.74133633310747,Winter
144,60.88862973209518,Winter
145,78.03983390757166,Winter
146,159.9661142918321,Winter
147,146.065481038823,Winter
148,107.5680714097445,Winter
149,64.53567972370539,Winter
150,116.73197290263894,Winter
151,100.3224205109693,Winter
152,59.60359902175033,Winter
153,82.75625251520133,Winter
154,81.07383991705149,Winter
155,130.94085925289767,Winter
156,95.37988416721593,Winter
157,137.8297923786836,Winter
158,104.92831769079343,Winter
159,54.38973386665606,Winter
160,136.0706214761089,Winter
161,55.312392263275555,Winter
162,45.4133066595999,Winter
163,131.34702954505926,Winter
164,88.94159647607977,Winter
165,192.05411537180916,Winter
166,132.99984270114658,Winter
167,81.56224174390468,Winter
168,62.35350752159765,Winter
169,123.65762010638558,Winter
170,108.16197596020338,Winter
171,75.4063592738612,Winter
172,127.2818126727359,Winter
173,118.58337993093299,Winter
174,51.3899102380493,Winter
175,72.94623480728397,Winter
176,47.33672606746813,Winter
177,59.704990772787944,Winter
178,115.40165438570712,Winter
179,160.95173102791864,Winter
180,80.49911643999319,Winter
181,91.95238484588539,Winter
182,68.93581146614815,Winter
183,30.48859080300046,Winter
184,72.25454095958678,Winter
185,88.7005707434711,Winter
186,79.2671751186548,Winter
187,90.9923057207655,Winter
188,71.79023238334653,Winter
189,75.02209393264641,Winter
190,148.20746513097978,Winter
191,64.13524637805475,Winter
192,144.97795412630435,Winter
193,63.743314205082925,Winter
194,51.006235688112376,Winter
195,111.19436489398994,Winter
196,126.24134447662894,Winter
197,92.43288619127675,Winter
198,192.82375970999172,Winter
199,70.49660754705165,Winter
200,66.28126363414846,Winter
201,171.51222229198808,Winter
202,93.73377361263996,Winter
203,67.41774660128587,Winter
204,92.78895817464822,Winter
205,119.75935978848607,Winter
206,85.00212561698642,Winter
207,98.81624302319575,Winter
208,61.93441685967797,Winter
209,117.90192776473721,Winter
210,128.43249780525713,Winter
211,60.29371731492557,Winter
212,56.3779586234376,Winter
213,132.6884975137546,Winter
214,55.11601610777211,Winter
215,64.97510965738753,Winter
216,113.5139760137656,Winter
217,178.547208514199,Winter
218,88.46382676305127,Winter
219,89.3699981353032,Winter
220,131.92121980864846,Winter
221,87.64796140960449,Winter
222,71.89929757983184,Winter
223,105.3293521553916,Winter
224,136.86624191266597,Winter
225,76.87435837917353,Winter
226,96.7157643827231,Winter
227,101.37580124377227,Winter
228,121.04288805666768,Winter
229,87.08910835839697,Winter
230,132.8354485590978,Winter
231,75.1733385557198,Winter
232,121.711430610703,Winter
233,116.321033164086,Winter
234,80.49649774360297,Winter
235,99.229042925653,Winter
236,66.30836665471872,Winter
237,139.63339407760893,Winter
238,146.3563250781158,Winter
239,117.84748255432714,Winter
240,161.41535324982024,Winter
241,74.44552723954197,Winter
242,61.20822790141521,Winter
243,161.56019232134057,Winter
244,74.33176841923651,Winter
245,93.17669488682517,Winter
246,131.57557028898108,Winter
247,130.1160741012458,Winter
248,111.89648612393222,Winter
249,71.64957126726605,Winter
250,100.21663473088434,Winter
251,96.50891644143117,Winter
252,108.09541180806636,Winter
253,136.38341945512008,Winter
254,93.06257221189799,Winter
255,150.17077495010196,Winter
256,66.59817526579258,Winter
257,104.84265556591536,Winter
258,130.5433938953459,Winter
259,80.64484017499586,Winter
260,114.54568612309724,Winter
261,86.0187504546148,Winter
262,98.11916077739389,Winter
263,86.26921687428485,Winter
264,132.83249168440815,Winter
265,67.27053501058475,Winter
266,73.28083349828074,Winter
267,93.9163225097292,Winter
268,161.66518938560802,Winter
269,84.88992406184144,Winter
270,117.21082866111908,Winter
271,96.59802367665515,Winter
272,192.6552386275624,Winter
273,111.78752847184873,Winter
274,144.1472873965504,Winter
275,93.52043278514158,Winter
276,109.5615698682164,Winter
277,144.37038361787492,Winter
278,129.16790247638397,Winter
279,114.96435355303,Winter
280,123.56368145660379,Winter
281,61.12924353225335,Winter
282,128.14122729314204,Winter
283,139.62791018714918,Winter
284,196.245010575313,Winter
285,46.855649832146895,Winter
286,89.36723901651214,Winter
287,163.8397170696714,Winter
288,125.89862395028412,Winter
289,78.87420593106233,Winter
290,97.84887326979302,Winter
291,151.8073052233293,Winter
292,100.47573779823881,Winter
293,79.17681875581064,Winter
294,107.47228163490841,Winter
295,79.2935202579593,Winter
296,58.34575529848808,Winter
