,metals,percent,Seasons
0,Mn,3.3786570575666994,Winter
1,Cr,6.501941531435677,Winter
2,Ni,0.6284705602924279,Winter
3,Cu,0.7339044633960533,Winter
4,Zn,0.05491269304901216,Winter
5,As,11.612587265999357,Winter
6,Cd,53.446201643045285,Winter
7,Hg,15.746504183429607,Winter
8,Pb,7.896820601785887,Winter
0,Mn,2.845002028117325,Summer
1,Cr,5.283711862019465,Summer
2,Ni,0.49158287822818425,Summer
3,Cu,0.8260946682929879,Summer
4,Zn,0.05297343743517358,Summer
5,As,9.438410518726696,Summer
6,Cd,48.07798433527866,Summer
7,Hg,23.821849886093002,Summer
8,Pb,9.162390385808513,Summer
