,Values,Metals,Param,Age,*
368,,Cr,CR,Children,CR Children
369,0.00347,Cr,CR,Children,CR Children
370,0.00121,Cr,CR,Children,CR Children
371,0.00198,Cr,CR,Children,CR Children
372,0.00166,Cr,CR,Children,CR Children
373,0.00179,Cr,CR,Children,CR Children
374,0.00238,Cr,CR,Children,CR Children
375,0.00415,Cr,CR,Children,CR Children
376,,Cr,CR,Adult,CR Adult
377,0.000785,Cr,CR,Adult,CR Adult
378,0.000274,Cr,CR,Adult,CR Adult
379,0.000448,Cr,CR,Adult,CR Adult
380,0.000377,Cr,CR,Adult,CR Adult
381,0.000404,Cr,CR,Adult,CR Adult
382,0.000539,Cr,CR,Adult,CR Adult
383,0.00094,Cr,CR,Adult,CR Adult
384,0.00221,As,CR,Children,CR Children
385,0.00299,As,CR,Children,CR Children
386,0.00226,As,CR,Children,CR Children
387,0.00268,As,CR,Children,CR Children
388,0.00247,As,CR,Children,CR Children
389,0.00273,As,CR,Children,CR Children
390,0.00294,As,CR,Children,CR Children
391,0.0032,As,CR,Children,CR Children
392,0.0005,As,CR,Adult,CR Adult
393,0.000677,As,CR,Adult,CR Adult
394,0.00051,As,CR,Adult,CR Adult
395,0.000606,As,CR,Adult,CR Adult
396,0.000558,As,CR,Adult,CR Adult
397,0.000618,As,CR,Adult,CR Adult
398,0.000666,As,CR,Adult,CR Adult
399,0.000725,As,CR,Adult,CR Adult
400,0.000958,Cd,CR,Children,CR Children
401,0.00371,Cd,CR,Children,CR Children
402,0.000705,Cd,CR,Children,CR Children
403,0.00234,Cd,CR,Children,CR Children
404,0.00116,Cd,CR,Children,CR Children
405,0.00281,Cd,CR,Children,CR Children
406,0.00289,Cd,CR,Children,CR Children
407,0.00419,Cd,CR,Children,CR Children
408,0.000217,Cd,CR,Adult,CR Adult
409,0.000841,Cd,CR,Adult,CR Adult
410,0.00016,Cd,CR,Adult,CR Adult
411,0.00053,Cd,CR,Adult,CR Adult
412,0.000262,Cd,CR,Adult,CR Adult
413,0.000635,Cd,CR,Adult,CR Adult
414,0.000654,Cd,CR,Adult,CR Adult
415,0.000949,Cd,CR,Adult,CR Adult
416,1.73e-05,Pb,CR,Children,CR Children
417,2.32e-05,Pb,CR,Children,CR Children
418,2.32e-05,Pb,CR,Children,CR Children
419,1.37e-05,Pb,CR,Children,CR Children
420,3.51e-05,Pb,CR,Children,CR Children
421,1.81e-05,Pb,CR,Children,CR Children
422,1.87e-05,Pb,CR,Children,CR Children
423,2.89e-05,Pb,CR,Children,CR Children
424,3.9e-06,Pb,CR,Adult,CR Adult
425,5.25e-06,Pb,CR,Adult,CR Adult
426,5.25e-06,Pb,CR,Adult,CR Adult
427,3.09e-06,Pb,CR,Adult,CR Adult
428,7.95e-06,Pb,CR,Adult,CR Adult
429,4.11e-06,Pb,CR,Adult,CR Adult
430,4.24e-06,Pb,CR,Adult,CR Adult
431,6.54e-06,Pb,CR,Adult,CR Adult
432,0.00318,TCR,TCR,Children,TCR Children
433,0.0102,TCR,TCR,Children,TCR Children
434,0.0042,TCR,TCR,Children,TCR Children
435,0.00701,TCR,TCR,Children,TCR Children
436,0.00532,TCR,TCR,Children,TCR Children
437,0.00734,TCR,TCR,Children,TCR Children
438,0.00822,TCR,TCR,Children,TCR Children
439,0.0116,TCR,TCR,Children,TCR Children
440,0.00072,TCR,TCR,Adult,TCR Adult
441,0.00231,TCR,TCR,Adult,TCR Adult
442,0.000948,TCR,TCR,Adult,TCR Adult
443,0.00159,TCR,TCR,Adult,TCR Adult
444,0.0012,TCR,TCR,Adult,TCR Adult
445,0.00166,TCR,TCR,Adult,TCR Adult
446,0.00186,TCR,TCR,Adult,TCR Adult
447,0.00262,TCR,TCR,Adult,TCR Adult
