,Values,Metals,Param,Age,*
352,14.114,HI,HI,Children,HI Children
353,32.391,HI,HI,Children,HI Children
354,11.635,HI,HI,Children,HI Children
355,30.6,HI,HI,Children,HI Children
356,16.57,HI,HI,Children,HI Children
357,22.717,HI,HI,Children,HI Children
358,23.168,HI,HI,Children,HI Children
359,29.751,HI,HI,Children,HI Children
360,3.197,HI,HI,Adult,HI Adult
361,7.338,HI,HI,Adult,HI Adult
362,2.636,HI,HI,Adult,HI Adult
363,6.932,HI,HI,Adult,HI Adult
364,3.754,HI,HI,Adult,HI Adult
365,5.146,HI,HI,Adult,HI Adult
366,5.248,HI,HI,Adult,HI Adult
367,6.739,HI,HI,Adult,HI Adult
432,0.00318,TCR,TCR,Children,TCR Children
433,0.0102,TCR,TCR,Children,TCR Children
434,0.0042,TCR,TCR,Children,TCR Children
435,0.00701,TCR,TCR,Children,TCR Children
436,0.00532,TCR,TCR,Children,TCR Children
437,0.00734,TCR,TCR,Children,TCR Children
438,0.00822,TCR,TCR,Children,TCR Children
439,0.0116,TCR,TCR,Children,TCR Children
440,0.00072,TCR,TCR,Adult,TCR Adult
441,0.00231,TCR,TCR,Adult,TCR Adult
442,0.000948,TCR,TCR,Adult,TCR Adult
443,0.00159,TCR,TCR,Adult,TCR Adult
444,0.0012,TCR,TCR,Adult,TCR Adult
445,0.00166,TCR,TCR,Adult,TCR Adult
446,0.00186,TCR,TCR,Adult,TCR Adult
447,0.00262,TCR,TCR,Adult,TCR Adult
