,Values,Metals,Param,Age,*
431,6.54e-06,Pb,CR,Adult,CR Adult
432,0.00318,TCR,TCR,Children,TCR Children
433,0.0102,TCR,TCR,Children,TCR Children
434,0.0042,TCR,TCR,Children,TCR Children
435,0.00701,TCR,TCR,Children,TCR Children
436,0.00532,TCR,TCR,Children,TCR Children
437,0.00734,TCR,TCR,Children,TCR Children
438,0.00822,TCR,TCR,Children,TCR Children
439,0.0116,TCR,TCR,Children,TCR Children
440,0.00072,TCR,TCR,Adult,TCR Adult
441,0.00231,TCR,TCR,Adult,TCR Adult
442,0.000948,TCR,TCR,Adult,TCR Adult
443,0.00159,TCR,TCR,Adult,TCR Adult
444,0.0012,TCR,TCR,Adult,TCR Adult
445,0.00166,TCR,TCR,Adult,TCR Adult
446,0.00186,TCR,TCR,Adult,TCR Adult
447,0.00262,TCR,TCR,Adult,TCR Adult
