,Unnamed: 0.1,Unnamed: 0,Values,Metals,Param,Age,*
431,431,431,6.54e-06,Pb,CR,Adult,CR Adult
432,432,432,0.00318,TCR,TCR,Child,TCR Child
433,433,433,0.0102,TCR,TCR,Child,TCR Child
434,434,434,0.0042,TCR,TCR,Child,TCR Child
435,435,435,0.00701,TCR,TCR,Child,TCR Child
436,436,436,0.00532,TCR,TCR,Child,TCR Child
437,437,437,0.00734,TCR,TCR,Child,TCR Child
438,438,438,0.00822,TCR,TCR,Child,TCR Child
439,439,439,0.0116,TCR,TCR,Child,TCR Child
440,440,440,0.00072,TCR,TCR,Adult,TCR Adult
441,441,441,0.00231,TCR,TCR,Adult,TCR Adult
442,442,442,0.000948,TCR,TCR,Adult,TCR Adult
443,443,443,0.00159,TCR,TCR,Adult,TCR Adult
444,444,444,0.0012,TCR,TCR,Adult,TCR Adult
445,445,445,0.00166,TCR,TCR,Adult,TCR Adult
446,446,446,0.00186,TCR,TCR,Adult,TCR Adult
447,447,447,0.00262,TCR,TCR,Adult,TCR Adult
